id,name,league_id
112163,Zhejiang,2012
112168,Cosenza,32
112172,RB Leipzig,19
112184,River Plate,338
112199,Sarpsborg 08,41
112222,Harrogate Town,61
112224,Melbourne City,351
112254,Newport County,61
112258,Gwangju,83
112259,AFC Wimbledon,61
112260,Fleetwood Town,60
112378,Dalian Professional,2012
112387,Al Ahli Jeddah,350
112390,Al Fateh,350
112392,Al Raed,350
112393,Al Taawon,350
112408,Al Wahda,350
112427,Western Sydney Wanderers,351
112472,Bragantino,7
112494,Südtirol,32
112499,FeralpiSalò,32
112511,Warta Poznań,66
112513,Arouca,308
112540,Shanghai Port,2012
112552,Quevilly Rouen,17
112558,Suwon,83
112572,Al Tai,350
112578,Rionegro Águilas,336
112585,Ñublense,335
112606,Orlando City,39
112670,Talleres Córdoba,353
112689,Platense,353
112707,Magallanes,335
112713,Sarmiento,353
112716,Cerro Porteño,337
112744,Deportivo Pereira,336
112809,Famalicão,308
112828,New York City,39
112883,Al Khaleej,350
112885,Atlanta United,39
112893,Inter Miami,39
112908,Independiente del Valle,2018
112914,Metropolitanos,2019
112965,Central Cordoba SdE,353
112979,Nantong Zhiyun,2012
112985,Cangzhou Mighty Lions,2012
112996,Los Angeles FC,39
113018,Saint Louis City,39
113029,César Vallejo,2020
113037,Al Riyadh,350
113040,NorthEast United,2149
113044,Barracas Central,353
113057,Al Fayha,350
113058,Abha,350
113060,Al Okhdood,350
113142,Alanyaspor,68
113146,ATK Mohun Bagan,2149
113149,Cincinnati,39
113182,Voluntari,330
113217,Damac,350
113222,Al Hazem,350
113257,Odisha FC,2149
113297,Chennaiyin,2149
113298,Goa,2149
113299,Kerala Blasters,2149
113300,Mumbai City,2149
113301,Hyderabad,2149
113302,Bengaluru,2149
113356,Amorebieta,54
113378,Sepsi,330
113458,Sirius,56
113742,Concarneau,17
113743,Varberg BoIS,56
113892,Degerfors,56
113926,Salford City,61
114004,Stal Mielec,66
114023,Western United,351
114147,Hermannstadt,330
114161,Austin,39
114162,Nashville SC,39
114168,Jamshedpur,2149
114326,Raków Częstochowa,66
114393,Puszcza Niepołomice,66
114510,Casa Pia,308
114554,FC Andorra,54
114580,Delfin,2018
114582,Deportivo Binacional,2020
114600,Guabirá,2017
114604,Macarthur,351
114611,Academia Puerto Cabello,2019
114628,Meizhou Hakka,2012
114640,Charlotte,39
115201,Stade Lausanne-Ouchy,189
115202,Punjab,2149
115358,Palmaflor del Trópico,2017
115494,Annecy,17
115716,U Craiova 1948,330
116007,General Caballero JLM,337
116295,Sportivo Ameliano,337
116360,Chengdu Rongcheng,2012
116361,Wuhan Three Towns,2012
131110,Eldense,54
131173,Qingdao Hainiu,2012
131389,Pendikspor,68
